Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,45,25,,,,,,,,,,,,,,62,57,,,,,,,,,,41,47,,,2,,2,
Bangladesh,BGD,Voice and Accountability: Percentile Rank,VA.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,47.26368332,,44.77611923,,37.3134346,31.84079552,27.88461494,30.28846169,32.21154022,31.25,33.17307663,38.3886261,36.96682358,36.15023422,34.74178314,34.74178314,32.01970291,30.04926109,30.54187202,30.04926109,27.18446541,26.57004738,26.57004738,28.01932335,28.01932335,27.45098114
Bangladesh,BGD,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,28.8913529,31.88122905,25.35639798,28.03595519,22.81817643,23.09277367,14.35479087,16.34763274,16.71043355,14.93295694,12.51575713,13.12478766,12.92941611,12.72180451,12.9485786,10.37080655,10.42982713,9.762589027,13.15280174,14.98295032,35.85746625,34.0541009,36.56802699,35.40773483,32.18052638,29.50359959,26.77745812,14.82154652,16.83548813,16.29578762,9.983812866,8.168922713,10.68349998,15.17021559,14.21741556,19.45531092,27.91783785,32.54522294,23.9055281,23.93811052,20.82030083,21.48418752,22.04889827,19.5597591,22.25700979,27.1626994,25.52041094,17.1766372
Bangladesh,BGD,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,63.58317875,58.17980936,67.1132389,62.00131613,67.93676349,70.52807379,70.7038219,61.60336439,66.00229863,73.77546229,79.78337027,81.34434938,81.20496837,80.32388664,80.58864289,83.56432077,83.18699167,83.41620157,81.62465523,79.5802104,43.5366483,37.76647753,37.02063561,38.19070731,44.21562598,46.2390635,52.65558032,67.34066838,65.13681659,70.82466086,77.59727462,81.29189093,78.75169442,72.22491697,75.35608466,69.73265504,59.18957266,54.90857906,62.3237938,62.89712787,64.06830471,57.20210861,62.31390322,63.57828279,67.39562094,64.56585636,63.53717448,67.81705662
Bangladesh,BGD,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,,,,,,,,,,,,,14.97599268,13.38673089,15.27180346,12.61693672,9.082962889,10.26052104,12.13077702,13.3951163,9.447334118,7.770266001,9.733614561,13.0607625,11.0538521,9.396430037,9.216906098,8.828008915,8.51424721,8.074617699,8.235695015,7.15636877,4.945916877,4.720973492,4.735186949,4.441855288,5.376694007,0.466072418,0.421810533,15.03859234,14.53641719,15.95610684,16.47103602,15.68632846,13.18560726,15.06722949,15.37571807,14.78541142,13.9703842,13.80079493,14.64441682,14.54041572,15.98995305,16.42345439,17.00395694,17.64845564,17.80451757,18.13177974,18.23788856,17.02002009,15.20945453,,,
Bangladesh,BGD,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,,,,,,,,,,,,,4.146025455,2.593329039,4.128294697,4.961785387,3.64617152,1.892205464,1.098901099,0.676767369,1.336421276,1.12466039,0.932218837,0.24155923,1.131581208,0.653725635,0.790856217,0.603640416,1.089743093,0.499999587,0.414029852,1.051217233,1.17642046,1.095193275,0.794742586,0.52383692,0.454779678,0.637578574,0.532342422,0.333595197,0.364197647,0.30773706,0.383404259,0.382811042,0.32674077,0.395597447,0.37198701,0.525739503,0.910918675,0.823944235,0.723835448,1.002361848,1.044090563,1.037514001,0.973114633,1.036694842,0.842939797,0.918048511,1.160886961,1.193147658,1.012034784,,,
Bangladesh,BGD,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,,,,,,,,,,,,,59.0389452,59.39171591,50.50665435,46.13573831,54.95979222,48.91256197,47.27807653,53.06069567,48.47184783,47.13085234,50.49865896,48.9592248,52.9094735,51.2518896,60.49093834,69.93963596,70.47779852,71.39162616,75.739377,77.20273002,81.06440429,81.71671619,82.65610222,84.88034419,85.40859397,87.82976732,90.73267882,78.71122315,79.77490897,78.90970225,77.81394638,78.62723048,81.20928598,78.2626785,77.93616308,77.87194078,76.37659201,76.95336297,74.3632742,74.87618376,73.80788423,73.25584349,72.64876076,72.23049256,71.79180939,71.52860966,71.64590525,72.73591851,73.89576951,,,
Bangladesh,BGD,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,57.31186274,61.46926678,64.53059991,67.64766837,67.15133545,61.53631885,61.00203598,64.30617763,65.80021372,64.29125475,71.61071118,,73.99055222,77.49413359,79.77128803,83.25798733,83.96693853,83.87878653,85.15410612,87.22584403,88.3793551,90.68101325,,90.50958038,92.69751709,89.68553268,92.91351485,91.91073225,91.18796023,91.33160866,88.28122165,91.90713073,92.70417211,91.68608738,92.78604616,92.79718551,93.53988091,,95.81230186,,,,,,,,
Bangladesh,BGD,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,13.04660826,13.68297201,12.721089,12.45126434,15.69587129,19.97005494,19.28183866,17.98332885,17.91852283,20.19584932,18.64081885,,17.88566697,14.33189084,12.64436683,11.03088851,11.84121934,13.60918418,10.44881552,10.09193991,8.360057935,7.229672183,,7.612916658,6.069669416,6.821453964,5.78812281,6.18429964,6.221821768,5.928288427,6.519945228,4.81908048,3.694887123,4.029749227,3.859956293,2.643993367,3.950204791,,2.705992787,,,,,,,,
Bangladesh,BGD,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.413602495,4.510452085,5.657771226,4.257609614,3.135364294,5.927304708,5.262147482,5.236197395,3.12492556,3.12492556,3.328238587,2.591969865,2.220446909,2.606819985,3.363310752,3.979020612,2.928492305,4.340794841,2.833518533,2.671971941,2.14484622,2.025554969,2.130068943,1.800888792,1.800888792,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,
Bangladesh,BGD,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,113783973.2,160163496,223232129.8,329114740.3,444306661.5,426743112.5,386355522.9,328955787.1,397096866.8,400533157.3,398137608.3,406491922.8,493281809.5,594081190,554490090.7,555160470.1,644371066.9,781586577.2,856647391.8,1192179484,1080483927,1187667471,1166392805,1334637553,1550842739,1440041535,1322643909,1600457419,1854898673,2169207248,2309042771,2872101058,3587775220,3183652519,4121921571,4977722580,5229958472,6193947324,7402334238,7391614350,7600059825,8275137884,9271706691,9333944068,7574219065,10479471320,11786316703,10723572631
Bangladesh,BGD,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,,,,,,,,,,,,,,992960000,1088940000,1319820000,940490000,1124850000,1502070000,1927660000,2610560000,2651370000,2418480000,2291080000,2692780000,2526170000,2550350000,2730310000,3034050000,3617636759,3656091237,3421020535,3730840748,4014526982,4583959904,6496050750,6934925231,6996101124,7370225604,8352443082,8861116200,8997260881,7839863766,9816541851,11572464505,13836362114,16080326489,18466401723,23832899738,21819301917,27771160757,36148056146,34159373194,37477383165,41635060906,39412978351,41248199915,47751479069,55318924583,55095294344,45857952196,,,
Bangladesh,BGD,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,,,,,,,,,,,,,,2.597284886,2.514371774,3.066327226,5.30999798,4.738409566,3.834708103,2.493697021,2.587567418,0.32285196,0.661572558,0.326047104,0.949576274,0.316289086,0.689317153,0.741674022,0.619963415,0.643992779,0.401587718,0.299385607,0.431449847,0.410314018,0.771989215,0.475444296,0.708005804,0.29951737,0.325681861,0.612216713,0.62351313,0.504898798,0.400544613,0.330715567,0.28635298,0.346275998,0.601001777,0.504651157,0.904956696,0.873934495,0.851494045,2.175419875,1.683512425,1.383540552,0.853248105,0.88459461,0.834984416,0.488822013,0.500416919,0.780540725,0.846773184,,,
